[I 260121 09:49:15 consumers:62] SmartAPI WebSocket Opened
[I 260121 09:49:15 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2246287, 'exchange_timestamp': 1768969155000, 'last_traded_price': 5922690, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:15 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2246528, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922290, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2246981, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922235, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2247183, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922235, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2247272, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922235, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2247309, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922235, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2247316, 'exchange_timestamp': 1768969156000, 'last_traded_price': 5922235, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:16 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2247472, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922445, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248014, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922210, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248187, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922210, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248307, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922210, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248344, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922210, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248369, 'exchange_timestamp': 1768969157000, 'last_traded_price': 5922210, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:17 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248507, 'exchange_timestamp': 1768969158000, 'last_traded_price': 5922775, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:18 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2248960, 'exchange_timestamp': 1768969158000, 'last_traded_price': 5922585, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:18 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2249209, 'exchange_timestamp': 1768969159000, 'last_traded_price': 5921790, 'subscription_mode_val': 'LTP'}
